Entity ID,Entity Type,Entity Name
327,Federal Agency,Marine Mammal Commission
328,Federal Agency,Maritime Administration (MARAD)
329,Federal Agency,Marketing and Regulatory Programs
330,Federal Agency,Marshals Service
331,Federal Agency,Maryland
332,Federal Agency,Massachusetts
333,Federal Agency,Mediation and Conciliation Service
334,Federal Agency,Medicaid (CMS)
335,Federal Agency,Medicaid and CHIP Payment and Access Commission
336,Federal Agency,Medicare (CMS)
337,Federal Agency,Medicare Payment Advisory Commission
338,Federal Agency,Merit Systems Protection Board
339,Federal Agency,Michigan
340,Federal Agency,Middle East Broadcasting Network
341,Federal Agency,Migratory Bird Conservation Commission
342,Federal Agency,Military Postal Service Agency
343,Federal Agency,Millennium Challenge Corporation
344,Federal Agency,Mine Safety and Health Administration (MSHA)
345,Federal Agency,Minnesota
346,Federal Agency,Minority Business Development Agency
347,Federal Agency,"Minority Health, Office of"
348,Federal Agency,Mint
349,Federal Agency,Missile Defense Agency (MDA)
350,Federal Agency,Mississippi
351,Federal Agency,Mississippi River Commission
352,Federal Agency,Missouri
353,Federal Agency,Montana
354,Federal Agency,Morris K. Udall and Stewart L. Udall Foundation
355,Federal Agency,Multifamily Housing Office
356,Federal Agency,NOAA Fisheries
357,Federal Agency,National AIDS Policy Office
358,Federal Agency,National Aeronautics and Space Administration (NASA)
359,Federal Agency,National Agricultural Statistics Service
360,Federal Agency,National Archives and Records Administration (NARA)
361,Federal Agency,National Cancer Institute (NCI)
362,Federal Agency,National Capital Planning Commission
363,Federal Agency,National Cemetery Administration
364,Federal Agency,National Constitution Center
365,Federal Agency,National Council on Disability
366,Federal Agency,National Credit Union Administration (NCUA)
367,Federal Agency,National Defense University
368,Federal Agency,National Defense University iCollege
369,Federal Agency,National Economic Council
370,Federal Agency,National Endowment for the Arts (NEA)
371,Federal Agency,National Endowment for the Humanities
372,Federal Agency,National Flood Insurance Program (NFIP)
373,Federal Agency,National Gallery of Art
374,Federal Agency,National Geospatial-Intelligence Agency
375,Federal Agency,National Guard
376,Federal Agency,National Health Information Center (NHIC)
377,Federal Agency,"National Heart, Lung, and Blood Institute (NHLBI)"
378,Federal Agency,National Highway Traffic Safety Administration (NHTSA)
379,Federal Agency,National Indian Gaming Commission
380,Federal Agency,"National Institute of Arthritis, Musculoskeletal and Skin Diseases"
381,Federal Agency,National Institute of Corrections
382,Federal Agency,National Institute of Food and Agriculture
383,Federal Agency,National Institute of Justice
384,Federal Agency,National Institute of Mental Health (NIMH)
385,Federal Agency,National Institute of Occupational Safety and Health (NIOSH)
386,Federal Agency,National Institute of Standards and Technology (NIST)
387,Federal Agency,National Institutes of Health (NIH)
388,Federal Agency,National Intelligence University
389,Federal Agency,National Interagency Fire Center
390,Federal Agency,National Labor Relations Board (NLRB)
391,Federal Agency,National Laboratories
392,Federal Agency,National Marine Fisheries Service
393,Federal Agency,National Mediation Board
394,Federal Agency,National Nuclear Security Administration
395,Federal Agency,National Ocean Service
396,Federal Agency,National Oceanic and Atmospheric Administration (NOAA)
397,Federal Agency,National Park Foundation
398,Federal Agency,National Park Service (NPS)
399,Federal Agency,National Passport Information Center (NPIC)
400,Federal Agency,National Pesticide Information Center
401,Federal Agency,National Railroad Passenger Corporation (AMTRAK)
402,Federal Agency,National Reconnaissance Office
403,Federal Agency,National Science Foundation (NSF)
404,Federal Agency,National Security Agency (NSA)
405,Federal Agency,National Security Council
406,Federal Agency,National Technical Information Service
407,Federal Agency,National Telecommunications and Information Administration
408,Federal Agency,National Transportation Safety Board (NTSB)
409,Federal Agency,National War College
410,Federal Agency,National Weather Service
411,Federal Agency,Natural Resources Conservation Service
412,Federal Agency,"Natural Resources Revenue, Office of"
413,Federal Agency,Navy
414,Federal Agency,Nebraska
415,Federal Agency,Nevada
416,Federal Agency,New Hampshire
417,Federal Agency,New Jersey
418,Federal Agency,New Mexico
419,Federal Agency,New York
420,Federal Agency,North Carolina
421,Federal Agency,North Dakota
422,Federal Agency,Northern Command
423,Federal Agency,Northern Mariana Islands
424,Federal Agency,Northwest Power Planning Council
425,Federal Agency,Northwest Power and Conservation Council
426,Federal Agency,"Nuclear Energy, Office of"
427,Federal Agency,Nuclear Regulatory Commission (NRC)
428,Federal Agency,Nuclear Waste Technical Review Board
429,Federal Agency,Oak Ridge National Laboratory
430,Federal Agency,Occupational Safety and Health Administration (OSHA)
431,Federal Agency,Occupational Safety and Health Review Commission
432,Federal Agency,"Ocean Energy Management, Bureau of"
433,Federal Agency,"Office for Civil Rights, Department of Education"
434,Federal Agency,"Office for Civil Rights, Department of Health and Human Services"
435,Federal Agency,"Office of Career, Technical, and Adult Education"
436,Federal Agency,Office of Child Support Enforcement (OCSE)
437,Federal Agency,Office of Community Planning and Development
438,Federal Agency,Office of Compliance
439,Federal Agency,Office of Cuba Broadcasting
440,Federal Agency,Office of Disability Employment Policy (ODEP)
441,Federal Agency,Office of Elementary and Secondary Education
442,Federal Agency,Office of Environmental Management
443,Federal Agency,Office of Fair Housing and Equal Opportunity
444,Federal Agency,Office of Fossil Energy
445,Federal Agency,Office of Government Ethics (OGE)
446,Federal Agency,Office of Housing
447,Federal Agency,Office of Investor Education and Advocacy
448,Federal Agency,Office of Justice Programs
449,Federal Agency,Office of Juvenile Justice and Delinquency Prevention
450,Federal Agency,Office of Lead Hazard Control and Healthy Homes
451,Federal Agency,Office of Management and Budget (OMB)
452,Federal Agency,Office of Manufactured Housing Programs
453,Federal Agency,Office of Minority Health
454,Federal Agency,Office of National Drug Control Policy (ONDCP)
455,Federal Agency,Office of Natural Resources Revenue
456,Federal Agency,Office of Nuclear Energy
457,Federal Agency,Office of Personnel Management (OPM)
458,Federal Agency,Office of Policy Development and Research
459,Federal Agency,Office of Postsecondary Education
460,Federal Agency,Office of Refugee Resettlement
461,Federal Agency,Office of Science and Technology Policy
462,Federal Agency,Office of Scientific and Technical Information
463,Federal Agency,Office of Servicemember Affairs
464,Federal Agency,Office of Special Counsel
465,Federal Agency,Office of Special Education and Rehabilitative Services (OSERS)
466,Federal Agency,"Office of Surface Mining, Reclamation and Enforcement"
467,Federal Agency,Office of the Comptroller of the Currency (OCC)
468,Federal Agency,Office of the Director of National Intelligence
469,Federal Agency,Office of the Federal Register
470,Federal Agency,Office of the Pardon Attorney
471,Federal Agency,Ohio
472,Federal Agency,Oklahoma
473,Federal Agency,Open World Leadership Center
474,Federal Agency,Oregon
475,Federal Agency,Out-of-Service Debt Management Center
476,Federal Agency,Overseas Private Investment Corporation
477,Federal Agency,Pacific Command
478,Federal Agency,Pacific Northwest Electric Power and Conservation Planning Council
479,Federal Agency,"Pardon Attorney, Office of"
480,Federal Agency,Parole Commission
481,Federal Agency,Patent and Trademark Office
482,Federal Agency,Peace Corps
483,Federal Agency,Pennsylvania
484,Federal Agency,Pension Benefit Guaranty Corporation (PBGC)
485,Federal Agency,Pentagon Force Protection Agency
486,Federal Agency,Pipeline and Hazardous Materials Safety Administration
487,Federal Agency,Policy Development and Research
488,Federal Agency,Political Affairs
489,Federal Agency,Postal Inspection Service
490,Federal Agency,Postal Regulatory Commission
491,Federal Agency,Postal Service (USPS)
492,Federal Agency,"Postsecondary Education, Office of"
493,Federal Agency,Power Administrations
494,Federal Agency,"President's Council on Fitness, Sports and Nutrition"
495,Federal Agency,Presidential Scholars Commission
496,Federal Agency,Presidio Trust
497,Federal Agency,Pretrial Services Agency for the District of Columbia
498,Federal Agency,Prisoner of War/Missing in Action Accounting Agency
499,Federal Agency,Privacy and Civil Liberties Oversight Board (PCLOB)
500,Federal Agency,Public Diplomacy and Public Affairs
501,Federal Agency,Public and Indian Housing
502,Federal Agency,Puerto Rico
503,Federal Agency,Radio Free Asia (RFA)
504,Federal Agency,Radio Free Europe and Radio Liberty (RFE/RL)
505,Federal Agency,Radio Sawa
506,Federal Agency,Radio and TV Martí
507,Federal Agency,Railroad Retirement Board (RRB)
508,Federal Agency,"Reclamation, Bureau of"
509,Federal Agency,"Refugee Resettlement, Office of"
510,Federal Agency,Rehabilitation Services Administration
511,Federal Agency,Republic of Palau
512,Federal Agency,Republic of The Marshall Islands
513,Federal Agency,Research and Innovative Technology Administration
514,Federal Agency,Rhode Island
515,Federal Agency,Risk Management Agency
516,Federal Agency,Rural Business and Cooperative Programs
517,Federal Agency,Rural Development
518,Federal Agency,Rural Housing Service
519,Federal Agency,Rural Utilities Service
520,Federal Agency,"Safety and Environmental Enforcement, Bureau of"
521,Federal Agency,Saint Lawrence Seaway Development Corporation
522,Federal Agency,Science Office
523,Federal Agency,"Science and Technology Policy, Office of"
524,Federal Agency,"Scientific and Technical Information, Office of"
525,Federal Agency,Secret Service
526,Federal Agency,Securities and Exchange Commission (SEC)
527,Federal Agency,Selective Service System (SSS)
528,Federal Agency,Senate
529,Federal Agency,Sentencing Commission
530,Federal Agency,"Servicemember Affairs, Office of"
531,Federal Agency,Small Business Administration (SBA)
532,Federal Agency,Smithsonian Institution
533,Federal Agency,Social Security Administration (SSA)
534,Federal Agency,Social Security Advisory Board
535,Federal Agency,South Carolina
536,Federal Agency,South Dakota
537,Federal Agency,Southeastern Power Administration
538,Federal Agency,Southern Command
539,Federal Agency,Southwestern Power Administration
540,Federal Agency,"Special Counsel, Office of"
541,Federal Agency,"Special Education and Rehabilitative Services, Office of (OSERS)"
542,Federal Agency,Special Forces Operations Command
543,Federal Agency,State Department (DOS)
544,Federal Agency,State Justice Institute
545,Federal Agency,Stennis Center for Public Service
546,Federal Agency,Strategic Command
547,Federal Agency,Substance Abuse and Mental Health Services Administration (SAMHSA)
548,Federal Agency,Supreme Court of the United States
549,Federal Agency,"Surface Mining, Reclamation and Enforcement, Office of"
550,Federal Agency,Surface Transportation Board
551,Federal Agency,Susquehanna River Basin Commission
552,Federal Agency,Tax Court
553,Federal Agency,Taxpayer Advocacy Panel
554,Federal Agency,Tennessee
555,Federal Agency,Tennessee Valley Authority (TVA)
556,Federal Agency,Texas
557,Federal Agency,Trade Representative
558,Federal Agency,Trade and Development Agency
559,Federal Agency,Transportation Department (DOT)
560,Federal Agency,Transportation Security Administration (TSA)
561,Federal Agency,"Transportation Statistics, Bureau of"
562,Federal Agency,Treasury Department
563,Federal Agency,Trustee Program
564,Federal Agency,U S Virgin Islands
565,Federal Agency,U.S. AbilityOne Commission
566,Federal Agency,U.S. Access Board
567,Federal Agency,U.S. Agency for International Development (USAID)
568,Federal Agency,U.S. Air Force
569,Federal Agency,U.S. Air Force Reserve Command
570,Federal Agency,U.S. Arctic Research Commission
571,Federal Agency,U.S. Army
572,Federal Agency,U.S. Army Corps of Engineers
573,Federal Agency,U.S. Botanic Garden
574,Federal Agency,U.S. Capitol Police
575,Federal Agency,U.S. Capitol Visitor Center
576,Federal Agency,U.S. Census Bureau
577,Federal Agency,U.S. Central Command (CENTCOM)
578,Federal Agency,U.S. Chemical Safety Board
579,Federal Agency,U.S. Circuit Courts of Appeal
580,Federal Agency,U.S. Citizenship and Immigration Services (USCIS)
581,Federal Agency,U.S. Coast Guard
582,Federal Agency,U.S. Commission of Fine Arts
583,Federal Agency,U.S. Commission on International Religious Freedom
584,Federal Agency,U.S. Commodity Futures Trading Commission (CFTC)
585,Federal Agency,U.S. Court of Appeals for Veterans Claims
586,Federal Agency,U.S. Customs and Border Protection
587,Federal Agency,U.S. Department of Agriculture (USDA)
588,Federal Agency,U.S. Department of Commerce (DOC)
589,Federal Agency,U.S. Department of Defense (DOD)
590,Federal Agency,U.S. Department of Education (ED)
591,Federal Agency,U.S. Department of Energy (DOE)
592,Federal Agency,U.S. Department of Health and Human Services (HHS)
593,Federal Agency,U.S. Department of Homeland Security (DHS)
594,Federal Agency,U.S. Department of Housing and Urban Development (HUD)
595,Federal Agency,U.S. Department of Justice (DOJ)
596,Federal Agency,U.S. Department of Labor (DOL)
597,Federal Agency,U.S. Department of State (DOS)
598,Federal Agency,U.S. Department of Transportation (DOT)
599,Federal Agency,U.S. Department of Veterans Affairs (VA)
600,Federal Agency,U.S. Department of the Interior (DOI)
601,Federal Agency,U.S. Department of the Treasury
602,Federal Agency,U.S. Election Assistance Commission (EAC)
603,Federal Agency,U.S. European Command
604,Federal Agency,U.S. Fleet Forces Command
605,Federal Agency,U.S. Geological Survey (USGS)
606,Federal Agency,U.S. House of Representatives
607,Federal Agency,U.S. Immigration and Customs Enforcement (ICE)
608,Federal Agency,U.S. International Trade Commission
609,Federal Agency,U.S. Marine Corps
610,Federal Agency,U.S. Marshals Service
611,Federal Agency,"U.S. Military Academy, West Point"
612,Federal Agency,U.S. Mission to the United Nations
613,Federal Agency,U.S. National Central Bureau - Interpol
614,Federal Agency,U.S. Navy
615,Federal Agency,U.S. Northern Command
616,Federal Agency,U.S. Nuclear Regulatory Commission (NRC)
617,Federal Agency,U.S. Pacific Command
618,Federal Agency,U.S. Parole Commission
619,Federal Agency,U.S. Patent and Trademark Office
620,Federal Agency,U.S. Postal Inspection Service
621,Federal Agency,U.S. Postal Service (USPS)
622,Federal Agency,U.S. Senate
623,Federal Agency,U.S. Sentencing Commission
624,Federal Agency,U.S. Southern Command
625,Federal Agency,U.S. Special Operations Command
626,Federal Agency,U.S. Strategic Command
627,Federal Agency,U.S. Trade Representative
628,Federal Agency,U.S. Trade and Development Agency
629,Federal Agency,U.S. Transportation Command
630,Federal Agency,U.S. Trustee Program
631,Federal Agency,US-CERT (US CERT)
632,Federal Agency,USAGov
633,Federal Agency,Unified Combatant Commands
634,Federal Agency,Uniformed Services University of the Health Sciences
635,Federal Agency,United States Mint
636,Federal Agency,Utah
637,Federal Agency,Vermont
638,Federal Agency,Veterans Affairs Department (VA)
639,Federal Agency,Veterans Benefits Administration (VBA)
640,Federal Agency,Veterans Day National Committee
641,Federal Agency,Veterans Health Administration (VHA)
642,Federal Agency,Veterans' Employment and Training Service (VETS)
643,Federal Agency,Vietnam Education Foundation
644,Federal Agency,Virginia
645,Federal Agency,Voice of America (VOA)
646,Federal Agency,Washington
647,Federal Agency,Washington Headquarters Services
648,Federal Agency,Weather Service
649,Federal Agency,Weights and Measures Division
650,Federal Agency,West Point Military Academy
651,Federal Agency,West Virginia
652,Federal Agency,Western Area Power Administration
653,Federal Agency,White House
654,Federal Agency,White House Office of Administration
655,Federal Agency,Wireless Telecommunications Bureau
656,Federal Agency,Wisconsin
657,Federal Agency,Women's Bureau
658,Federal Agency,Woodrow Wilson International Center for Scholars
659,Federal Agency,Wyoming
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
