Term Locale,Term Type,Term,CaseSensitive
en-US,US Federal Agencies,AbilityOne Commission,FALSE
en-US,US Federal Agencies,Access Board,FALSE
en-US,US Federal Agencies,Administration for Children and Families,FALSE
en-US,US Federal Agencies,Administration for Community Living,FALSE
en-US,US Federal Agencies,Administration for Native Americans,FALSE
en-US,US Federal Agencies,Administration on Aging,FALSE
en-US,US Federal Agencies,Administration on Intellectual and Developmental Disabilities,FALSE
en-US,US Federal Agencies,Administrative Conference of the United States,FALSE
en-US,US Federal Agencies,Administrative Office of the U.S. Courts,FALSE
en-US,US Federal Agencies,Advisory Council on Historic Preservation,FALSE
en-US,US Federal Agencies,African Development Foundation,FALSE
en-US,US Federal Agencies,Agency for Healthcare Research and Quality,FALSE
en-US,US Federal Agencies,Agency for International Development,FALSE
en-US,US Federal Agencies,Agency for Toxic Substances and Disease Registry,FALSE
en-US,US Federal Agencies,Agricultural Marketing Service,FALSE
en-US,US Federal Agencies,Agricultural Research Service,FALSE
en-US,US Federal Agencies,Agriculture Department,FALSE
en-US,US Federal Agencies,Air Force,FALSE
en-US,US Federal Agencies,Air Force Reserve,FALSE
en-US,US Federal Agencies,Alabama,FALSE
en-US,US Federal Agencies,Alaska,FALSE
en-US,US Federal Agencies,Alcohol and Tobacco Tax and Trade Bureau,FALSE
en-US,US Federal Agencies,"Alcohol, Tobacco, Firearms and Explosives Bureau",FALSE
en-US,US Federal Agencies,Alhurra TV,FALSE
en-US,US Federal Agencies,AmeriCorps,FALSE
en-US,US Federal Agencies,American Battle Monuments Commission,FALSE
en-US,US Federal Agencies,American Samoa,FALSE
en-US,US Federal Agencies,Amtrak,FALSE
en-US,US Federal Agencies,Animal and Plant Health Inspection Service,FALSE
en-US,US Federal Agencies,Antitrust Division,FALSE
en-US,US Federal Agencies,Architect of the Capitol,FALSE
en-US,US Federal Agencies,"Archives, National Archives and Records Administration",FALSE
en-US,US Federal Agencies,Arctic Research Commission,FALSE
en-US,US Federal Agencies,Arizona,FALSE
en-US,US Federal Agencies,Arkansas,FALSE
en-US,US Federal Agencies,Armed Forces Retirement Home,FALSE
en-US,US Federal Agencies,Arms Control and International Security,FALSE
en-US,US Federal Agencies,Army,FALSE
en-US,US Federal Agencies,Army Corps of Engineers,FALSE
en-US,US Federal Agencies,"Arthritis, Musculoskeletal and Skin Diseases, National Institute of",FALSE
en-US,US Federal Agencies,Bankruptcy Courts,FALSE
en-US,US Federal Agencies,Barry M. Goldwater Scholarship and Excellence in Education Program,FALSE
en-US,US Federal Agencies,Bonneville Power Administration,FALSE
en-US,US Federal Agencies,Botanic Garden,FALSE
en-US,US Federal Agencies,Broadcasting Board of Governors,FALSE
en-US,US Federal Agencies,Bureau of Alcohol and Tobacco Tax and Trade,FALSE
en-US,US Federal Agencies,"Bureau of Alcohol, Tobacco, Firearms and Explosives",FALSE
en-US,US Federal Agencies,Bureau of Consular Affairs,FALSE
en-US,US Federal Agencies,Bureau of Consumer Financial Protection,FALSE
en-US,US Federal Agencies,Bureau of Economic Analysis,FALSE
en-US,US Federal Agencies,Bureau of Engraving and Printing,FALSE
en-US,US Federal Agencies,Bureau of Indian Affairs,FALSE
en-US,US Federal Agencies,Bureau of Industry and Security,FALSE
en-US,US Federal Agencies,Bureau of International Labor Affairs,FALSE
en-US,US Federal Agencies,Bureau of Justice Statistics,FALSE
en-US,US Federal Agencies,Bureau of Labor Statistics,FALSE
en-US,US Federal Agencies,Bureau of Land Management,FALSE
en-US,US Federal Agencies,Bureau of Ocean Energy Management,FALSE
en-US,US Federal Agencies,Bureau of Prisons,FALSE
en-US,US Federal Agencies,Bureau of Reclamation,FALSE
en-US,US Federal Agencies,Bureau of Safety and Environmental Enforcement,FALSE
en-US,US Federal Agencies,Bureau of Transportation Statistics,FALSE
en-US,US Federal Agencies,Bureau of the Census,FALSE
en-US,US Federal Agencies,Bureau of the Fiscal Service,FALSE
en-US,US Federal Agencies,California,FALSE
en-US,US Federal Agencies,Capitol Police,FALSE
en-US,US Federal Agencies,Capitol Visitor Center,FALSE
en-US,US Federal Agencies,"Career, Technical, and Adult Education, Office of",FALSE
en-US,US Federal Agencies,Census Bureau,FALSE
en-US,US Federal Agencies,Center for Food Safety and Applied Nutrition,FALSE
en-US,US Federal Agencies,Center for Nutrition Policy and Promotion,FALSE
en-US,US Federal Agencies,Centers for Disease Control and Prevention,FALSE
en-US,US Federal Agencies,Centers for Medicare and Medicaid Services,FALSE
en-US,US Federal Agencies,Central Command,FALSE
en-US,US Federal Agencies,Central Intelligence Agency,FALSE
en-US,US Federal Agencies,Chemical Safety Board,FALSE
en-US,US Federal Agencies,Chief Acquisition Officers Council,FALSE
en-US,US Federal Agencies,Chief Financial Officers Council,FALSE
en-US,US Federal Agencies,Chief Human Capital Officers Council,FALSE
en-US,US Federal Agencies,Chief Information Officers Council,FALSE
en-US,US Federal Agencies,"Child Support Enforcement, Office of",FALSE
en-US,US Federal Agencies,Citizens' Stamp Advisory Committee,FALSE
en-US,US Federal Agencies,Citizenship and Immigration Services,FALSE
en-US,US Federal Agencies,"Civil Rights, Department of Education Office of",FALSE
en-US,US Federal Agencies,"Civil Rights, Department of Health and Human Services Office for",FALSE
en-US,US Federal Agencies,Coast Guard,FALSE
en-US,US Federal Agencies,Colorado,FALSE
en-US,US Federal Agencies,Commerce Department,FALSE
en-US,US Federal Agencies,Commission of Fine Arts,FALSE
en-US,US Federal Agencies,Commission on Civil Rights,FALSE
en-US,US Federal Agencies,Commission on International Religious Freedom,FALSE
en-US,US Federal Agencies,Commission on Presidential Scholars,FALSE
en-US,US Federal Agencies,Commission on Security and Cooperation in Europe,FALSE
en-US,US Federal Agencies,Committee for the Implementation of Textile Agreements,FALSE
en-US,US Federal Agencies,Committee on Foreign Investment in the United States,FALSE
en-US,US Federal Agencies,Commodity Futures Trading Commission,FALSE
en-US,US Federal Agencies,Community Oriented Policing Services,FALSE
en-US,US Federal Agencies,Community Planning and Development,FALSE
en-US,US Federal Agencies,"Compliance, Office of",FALSE
en-US,US Federal Agencies,"Comptroller of the Currency, Office of",FALSE
en-US,US Federal Agencies,Computer Emergency Readiness Team,FALSE
en-US,US Federal Agencies,Congress?U.S. House of Representatives,FALSE
en-US,US Federal Agencies,Congress?U.S. Senate,FALSE
en-US,US Federal Agencies,Congressional Budget Office,FALSE
en-US,US Federal Agencies,Congressional Research Service,FALSE
en-US,US Federal Agencies,Connecticut,FALSE
en-US,US Federal Agencies,"Consular Affairs, Bureau of",FALSE
en-US,US Federal Agencies,Consumer Financial Protection Bureau,FALSE
en-US,US Federal Agencies,Consumer Product Safety Commission,FALSE
en-US,US Federal Agencies,Coordinating Council on Juvenile Justice and Delinquency Prevention,FALSE
en-US,US Federal Agencies,Copyright Office,FALSE
en-US,US Federal Agencies,Corporation for National and Community Service,FALSE
en-US,US Federal Agencies,Corps of Engineers,FALSE
en-US,US Federal Agencies,Council of Economic Advisers,FALSE
en-US,US Federal Agencies,Council of the Inspectors General on Integrity and Efficiency,FALSE
en-US,US Federal Agencies,Council on Environmental Quality,FALSE
en-US,US Federal Agencies,Court Services and Offender Supervision Agency for the District of Columbia,FALSE
en-US,US Federal Agencies,Court of Appeals for Veterans Claims,FALSE
en-US,US Federal Agencies,Court of Appeals for the Armed Forces,FALSE
en-US,US Federal Agencies,Court of Appeals for the Federal Circuit,FALSE
en-US,US Federal Agencies,Court of Federal Claims,FALSE
en-US,US Federal Agencies,Court of International Trade,FALSE
en-US,US Federal Agencies,Customs and Border Protection,FALSE
en-US,US Federal Agencies,Defense Acquisition University,FALSE
en-US,US Federal Agencies,Defense Advanced Research Projects Agency,FALSE
en-US,US Federal Agencies,Defense Commissary Agency,FALSE
en-US,US Federal Agencies,Defense Contract Audit Agency,FALSE
en-US,US Federal Agencies,Defense Contract Management Agency,FALSE
en-US,US Federal Agencies,Defense Department,FALSE
en-US,US Federal Agencies,Defense Finance and Accounting Service,FALSE
en-US,US Federal Agencies,Defense Finance and Accounting Service Out-of-Service Debt Mgmt. Center,FALSE
en-US,US Federal Agencies,Defense Health Agency,FALSE
en-US,US Federal Agencies,Defense Information Systems Agency,FALSE
en-US,US Federal Agencies,Defense Intelligence Agency,FALSE
en-US,US Federal Agencies,Defense Logistics Agency,FALSE
en-US,US Federal Agencies,Defense Nuclear Facilities Safety Board,FALSE
en-US,US Federal Agencies,Defense Security Cooperation Agency,FALSE
en-US,US Federal Agencies,Defense Security Service,FALSE
en-US,US Federal Agencies,Defense Technical Information Center,FALSE
en-US,US Federal Agencies,Defense Threat Reduction Agency,FALSE
en-US,US Federal Agencies,Delaware,FALSE
en-US,US Federal Agencies,Delaware River Basin Commission,FALSE
en-US,US Federal Agencies,Denali Commission,FALSE
en-US,US Federal Agencies,Department of Agriculture,FALSE
en-US,US Federal Agencies,Department of Commerce,FALSE
en-US,US Federal Agencies,Department of Defense,FALSE
en-US,US Federal Agencies,Department of Education,FALSE
en-US,US Federal Agencies,Department of Energy,FALSE
en-US,US Federal Agencies,Department of Health and Human Services,FALSE
en-US,US Federal Agencies,Department of Homeland Security,FALSE
en-US,US Federal Agencies,Department of Justice,FALSE
en-US,US Federal Agencies,Department of Labor,FALSE
en-US,US Federal Agencies,Department of State,FALSE
en-US,US Federal Agencies,Department of Transportation,FALSE
en-US,US Federal Agencies,Department of Veterans Affairs,FALSE
en-US,US Federal Agencies,Department of the Interior,FALSE
en-US,US Federal Agencies,Department of the Treasury,FALSE
en-US,US Federal Agencies,"Director of National Intelligence, Office of",FALSE
en-US,US Federal Agencies,"Disability Employment Policy, Office of",FALSE
en-US,US Federal Agencies,District of Columbia,FALSE
en-US,US Federal Agencies,Domestic Policy Council,FALSE
en-US,US Federal Agencies,Drug Enforcement Administration,FALSE
en-US,US Federal Agencies,Dwight D. Eisenhower School for National Security and Resource Strategy,FALSE
en-US,US Federal Agencies,Economic Adjustment Office,FALSE
en-US,US Federal Agencies,"Economic Analysis, Bureau of",FALSE
en-US,US Federal Agencies,Economic Development Administration,FALSE
en-US,US Federal Agencies,"Economic Growth, Energy, and the Environment",FALSE
en-US,US Federal Agencies,Economic Research Service,FALSE
en-US,US Federal Agencies,Economics and Statistics Administration,FALSE
en-US,US Federal Agencies,Education Department,FALSE
en-US,US Federal Agencies,Education Resources Information Center,FALSE
en-US,US Federal Agencies,Elder Justice Initiative,FALSE
en-US,US Federal Agencies,Election Assistance Commission,FALSE
en-US,US Federal Agencies,"Elementary and Secondary Education, Office of",FALSE
en-US,US Federal Agencies,Employee Benefits Security Administration,FALSE
en-US,US Federal Agencies,Employment and Training Administration,FALSE
en-US,US Federal Agencies,Endangered Species Program,FALSE
en-US,US Federal Agencies,Energy Department,FALSE
en-US,US Federal Agencies,Energy Information Administration,FALSE
en-US,US Federal Agencies,English Language Acquisition Office,FALSE
en-US,US Federal Agencies,"Engraving and Printing, Bureau of",FALSE
en-US,US Federal Agencies,Environmental Management,FALSE
en-US,US Federal Agencies,Environmental Protection Agency,FALSE
en-US,US Federal Agencies,Equal Employment Opportunity Commission,FALSE
en-US,US Federal Agencies,European Command,FALSE
en-US,US Federal Agencies,Executive Office for Immigration Review,FALSE
en-US,US Federal Agencies,Fair Housing and Equal Opportunity,FALSE
en-US,US Federal Agencies,Fannie Mae,FALSE
en-US,US Federal Agencies,Farm Credit Administration,FALSE
en-US,US Federal Agencies,Farm Credit System Insurance Corporation,FALSE
en-US,US Federal Agencies,Farm Service Agency,FALSE
en-US,US Federal Agencies,FedStats,FALSE
en-US,US Federal Agencies,Federal Accounting Standards Advisory Board,FALSE
en-US,US Federal Agencies,Federal Aviation Administration,FALSE
en-US,US Federal Agencies,Federal Bureau of Investigation,FALSE
en-US,US Federal Agencies,Federal Bureau of Prisons,FALSE
en-US,US Federal Agencies,Federal Citizen Information Center,FALSE
en-US,US Federal Agencies,Federal Communications Commission,FALSE
en-US,US Federal Agencies,Federal Consulting Group,FALSE
en-US,US Federal Agencies,Federal Deposit Insurance Corporation,FALSE
en-US,US Federal Agencies,Federal Election Commission,FALSE
en-US,US Federal Agencies,Federal Emergency Management Agency,FALSE
en-US,US Federal Agencies,Federal Energy Regulatory Commission,FALSE
en-US,US Federal Agencies,Federal Executive Boards,FALSE
en-US,US Federal Agencies,Federal Financial Institutions Examination Council,FALSE
en-US,US Federal Agencies,Federal Financing Bank,FALSE
en-US,US Federal Agencies,Federal Geographic Data Committee,FALSE
en-US,US Federal Agencies,Federal Highway Administration,FALSE
en-US,US Federal Agencies,Federal Home Loan Mortgage Corporation,FALSE
en-US,US Federal Agencies,Federal Housing Administration,FALSE
en-US,US Federal Agencies,Federal Housing Finance Agency,FALSE
en-US,US Federal Agencies,Federal Interagency Committee on Education,FALSE
en-US,US Federal Agencies,Federal Interagency Council on Statistical Policy,FALSE
en-US,US Federal Agencies,Federal Judicial Center,FALSE
en-US,US Federal Agencies,Federal Labor Relations Authority,FALSE
en-US,US Federal Agencies,Federal Laboratory Consortium for Technology Transfer,FALSE
en-US,US Federal Agencies,Federal Law Enforcement Training Center,FALSE
en-US,US Federal Agencies,Federal Library and Information Center Committee,FALSE
en-US,US Federal Agencies,Federal Maritime Commission,FALSE
en-US,US Federal Agencies,Federal Mediation and Conciliation Service,FALSE
en-US,US Federal Agencies,Federal Mine Safety and Health Review Commission,FALSE
en-US,US Federal Agencies,Federal Motor Carrier Safety Administration,FALSE
en-US,US Federal Agencies,Federal National Mortgage Association,FALSE
en-US,US Federal Agencies,Federal Protective Service,FALSE
en-US,US Federal Agencies,Federal Railroad Administration,FALSE
en-US,US Federal Agencies,Federal Register,FALSE
en-US,US Federal Agencies,Federal Reserve System,FALSE
en-US,US Federal Agencies,Federal Retirement Thrift Investment Board,FALSE
en-US,US Federal Agencies,Federal Student Aid Information Center,FALSE
en-US,US Federal Agencies,Federal Trade Commission,FALSE
en-US,US Federal Agencies,Federal Transit Administration,FALSE
en-US,US Federal Agencies,Federal Voting Assistance Program,FALSE
en-US,US Federal Agencies,Federated States of Micronesia,FALSE
en-US,US Federal Agencies,"Fiscal Service, Bureau of the",FALSE
en-US,US Federal Agencies,Fish and Wildlife Service,FALSE
en-US,US Federal Agencies,Fleet Forces Command,FALSE
en-US,US Federal Agencies,Florida,FALSE
en-US,US Federal Agencies,Food Safety and Inspection Service,FALSE
en-US,US Federal Agencies,"Food and Agriculture, National Institute of",FALSE
en-US,US Federal Agencies,Food and Drug Administration,FALSE
en-US,US Federal Agencies,Food and Nutrition Service,FALSE
en-US,US Federal Agencies,Foreign Agricultural Service,FALSE
en-US,US Federal Agencies,Foreign Claims Settlement Commission,FALSE
en-US,US Federal Agencies,Forest Service,FALSE
en-US,US Federal Agencies,Fossil Energy,FALSE
en-US,US Federal Agencies,Freddie Mac,FALSE
en-US,US Federal Agencies,Fulbright Foreign Scholarship Board,FALSE
en-US,US Federal Agencies,General Services Administration,FALSE
en-US,US Federal Agencies,Geological Survey,FALSE
en-US,US Federal Agencies,Georgia,FALSE
en-US,US Federal Agencies,Ginnie Mae,FALSE
en-US,US Federal Agencies,Government Accountability Office,FALSE
en-US,US Federal Agencies,"Government Ethics, Office of",FALSE
en-US,US Federal Agencies,Government National Mortgage Association,FALSE
en-US,US Federal Agencies,Government Publishing Office,FALSE
en-US,US Federal Agencies,"Grain Inspection, Packers and Stockyards Administration",FALSE
en-US,US Federal Agencies,Guam,FALSE
en-US,US Federal Agencies,Harry S. Truman Scholarship Foundation,FALSE
en-US,US Federal Agencies,Hawaii,FALSE
en-US,US Federal Agencies,Health Resources and Services Administration,FALSE
en-US,US Federal Agencies,Health and Human Services Department,FALSE
en-US,US Federal Agencies,Helsinki Commission,FALSE
en-US,US Federal Agencies,Holocaust Memorial Museum,FALSE
en-US,US Federal Agencies,Homeland Security Department,FALSE
en-US,US Federal Agencies,House Office of Inspector General,FALSE
en-US,US Federal Agencies,House Office of the Clerk,FALSE
en-US,US Federal Agencies,House of Representatives,FALSE
en-US,US Federal Agencies,Housing Office,FALSE
en-US,US Federal Agencies,Idaho,FALSE
en-US,US Federal Agencies,Illinois,FALSE
en-US,US Federal Agencies,Immigration and Citizenship Services,FALSE
en-US,US Federal Agencies,Immigration and Customs Enforcement,FALSE
en-US,US Federal Agencies,Indian Affairs,FALSE
en-US,US Federal Agencies,Indian Arts and Crafts Board,FALSE
en-US,US Federal Agencies,Indian Health Service,FALSE
en-US,US Federal Agencies,Indiana,FALSE
en-US,US Federal Agencies,Industrial College of the Armed Forces,FALSE
en-US,US Federal Agencies,"Industry and Security, Bureau of",FALSE
en-US,US Federal Agencies,Information Resource Management College,FALSE
en-US,US Federal Agencies,Information Resources Center,FALSE
en-US,US Federal Agencies,Innovation and Improvement Office,FALSE
en-US,US Federal Agencies,Inspectors General,FALSE
en-US,US Federal Agencies,Institute of Education Sciences,FALSE
en-US,US Federal Agencies,Institute of Museum and Library Services,FALSE
en-US,US Federal Agencies,Institute of Peace,FALSE
en-US,US Federal Agencies,Inter-American Foundation,FALSE
en-US,US Federal Agencies,Interagency Alternative Dispute Resolution Working Group,FALSE
en-US,US Federal Agencies,Interagency Committee for the Management of Noxious and Exotic Weeds,FALSE
en-US,US Federal Agencies,Interagency Council on Homelessness,FALSE
en-US,US Federal Agencies,Interior Department,FALSE
en-US,US Federal Agencies,Internal Revenue Service,FALSE
en-US,US Federal Agencies,"International Labor Affairs, Bureau of",FALSE
en-US,US Federal Agencies,International Trade Administration,FALSE
en-US,US Federal Agencies,International Trade Commission,FALSE
en-US,US Federal Agencies,Interpol,FALSE
en-US,US Federal Agencies,Iowa,FALSE
en-US,US Federal Agencies,James Madison Memorial Fellowship Foundation,FALSE
en-US,US Federal Agencies,Japan-United States Friendship Commission,FALSE
en-US,US Federal Agencies,Job Corps,FALSE
en-US,US Federal Agencies,John F. Kennedy Center for the Performing Arts,FALSE
en-US,US Federal Agencies,Joint Board for the Enrollment of Actuaries,FALSE
en-US,US Federal Agencies,Joint Chiefs of Staff,FALSE
en-US,US Federal Agencies,Joint Congressional Committee on Inaugural Ceremonies,FALSE
en-US,US Federal Agencies,Joint Fire Science Program,FALSE
en-US,US Federal Agencies,Joint Forces Command,FALSE
en-US,US Federal Agencies,Joint Forces Staff College,FALSE
en-US,US Federal Agencies,Joint Military Intelligence College,FALSE
en-US,US Federal Agencies,Joint Program Executive Office for Chemical and Biological Defense,FALSE
en-US,US Federal Agencies,Judicial Circuit Courts of Appeal,FALSE
en-US,US Federal Agencies,Judicial Panel on Multidistrict Litigation,FALSE
en-US,US Federal Agencies,Justice Department,FALSE
en-US,US Federal Agencies,"Justice Programs, Office of",FALSE
en-US,US Federal Agencies,"Justice Statistics, Bureau of",FALSE
en-US,US Federal Agencies,"Juvenile Justice and Delinquency Prevention, Office of",FALSE
en-US,US Federal Agencies,Kansas,FALSE
en-US,US Federal Agencies,Kennedy Center,FALSE
en-US,US Federal Agencies,Kentucky,FALSE
en-US,US Federal Agencies,Labor Department,FALSE
en-US,US Federal Agencies,"Labor Statistics, Bureau of",FALSE
en-US,US Federal Agencies,"Land Management, Bureau of",FALSE
en-US,US Federal Agencies,Legal Services Corporation,FALSE
en-US,US Federal Agencies,Library of Congress,FALSE
en-US,US Federal Agencies,Louisiana,FALSE
en-US,US Federal Agencies,Maine,FALSE
