Term Locale,Term Type,Term,Alias,CaseSensitive
en-US,Geopolitical - Agencies,Office of Juvenile Justice and Delinquency Prevention,,FALSE
en-US,Geopolitical - Agencies,Kennedy Center,,FALSE
en-US,Geopolitical - Agencies,Labor Department,DOL,FALSE
en-US,Geopolitical - Agencies,Bureau of Labor Statistics,,FALSE
en-US,Geopolitical - Agencies,Bureau of Land Management,BLM,FALSE
en-US,Geopolitical - Agencies,Legal Services Corporation,,FALSE
en-US,Geopolitical - Agencies,Library of Congress,LOC,FALSE
en-US,Geopolitical - Agencies,Office of Manufactured Housing Programs,,FALSE
en-US,Geopolitical - Agencies,Marine Corps,,FALSE
en-US,Geopolitical - Agencies,Marine Mammal Commission,,FALSE
en-US,Geopolitical - Agencies,Maritime Administration,MARAD,FALSE
en-US,Geopolitical - Agencies,Marketing and Regulatory Programs,,FALSE
en-US,Geopolitical - Agencies,Marshals Service,,FALSE
en-US,Geopolitical - Agencies,Mediation and Conciliation Service,,FALSE
en-US,Geopolitical - Agencies,Medicaid,CMS,FALSE
en-US,Geopolitical - Agencies,Medicaid and CHIP Payment and Access Commission,,FALSE
en-US,Geopolitical - Agencies,Medicare,CMS,FALSE
en-US,Geopolitical - Agencies,Medicare Payment Advisory Commission,,FALSE
en-US,Geopolitical - Agencies,Merit Systems Protection Board,,FALSE
en-US,Geopolitical - Agencies,Middle East Broadcasting Network,,FALSE
en-US,Geopolitical - Agencies,Migratory Bird Conservation Commission,,FALSE
en-US,Geopolitical - Agencies,Military Postal Service Agency,,FALSE
en-US,Geopolitical - Agencies,Millennium Challenge Corporation,,FALSE
en-US,Geopolitical - Agencies,Mine Safety and Health Administration,MSHA,FALSE
en-US,Geopolitical - Agencies,Minority Business Development Agency,,FALSE
en-US,Geopolitical - Agencies,Office of Minority Health,,FALSE
en-US,Geopolitical - Agencies,Mint,,FALSE
en-US,Geopolitical - Agencies,Missile Defense Agency,MDA,FALSE
en-US,Geopolitical - Agencies,Mississippi River Commission,,FALSE
en-US,Geopolitical - Agencies,Morris K. Udall and Stewart L. Udall Foundation,,FALSE
en-US,Geopolitical - Agencies,Multifamily Housing Office,,FALSE
en-US,Geopolitical - Agencies,NOAA Fisheries,,FALSE
en-US,Geopolitical - Agencies,National AIDS Policy Office,,FALSE
en-US,Geopolitical - Agencies,National Aeronautics and Space Administration,NASA,FALSE
en-US,Geopolitical - Agencies,National Agricultural Statistics Service,,FALSE
en-US,Geopolitical - Agencies,National Archives and Records Administration,NARA,FALSE
en-US,Geopolitical - Agencies,National Cancer Institute,NCI,FALSE
en-US,Geopolitical - Agencies,National Capital Planning Commission,,FALSE
en-US,Geopolitical - Agencies,National Cemetery Administration,,FALSE
en-US,Geopolitical - Agencies,National Constitution Center,,FALSE
en-US,Geopolitical - Agencies,National Council on Disability,,FALSE
en-US,Geopolitical - Agencies,National Credit Union Administration,NCUA,FALSE
en-US,Geopolitical - Agencies,National Defense University,,FALSE
en-US,Geopolitical - Agencies,National Defense University iCollege,,FALSE
en-US,Geopolitical - Agencies,National Economic Council,,FALSE
en-US,Geopolitical - Agencies,National Endowment for the Arts,NEA,FALSE
en-US,Geopolitical - Agencies,National Endowment for the Humanities,,FALSE
en-US,Geopolitical - Agencies,National Flood Insurance Program,NFIP,FALSE
en-US,Geopolitical - Agencies,National Gallery of Art,,FALSE
en-US,Geopolitical - Agencies,National Geospatial-Intelligence Agency,,FALSE
en-US,Geopolitical - Agencies,National Guard,,FALSE
en-US,Geopolitical - Agencies,National Health Information Center,NHIC,FALSE
en-US,Geopolitical - Agencies,"National Heart, Lung, and Blood Institute",NHLBI,FALSE
en-US,Geopolitical - Agencies,National Highway Traffic Safety Administration,NHTSA,FALSE
en-US,Geopolitical - Agencies,National Indian Gaming Commission,,FALSE
en-US,Geopolitical - Agencies,"National Institute of Arthritis, Musculoskeletal and Skin Diseases",,FALSE
en-US,Geopolitical - Agencies,National Institute of Corrections,,FALSE
en-US,Geopolitical - Agencies,National Institute of Food and Agriculture,,FALSE
en-US,Geopolitical - Agencies,National Institute of Justice,,FALSE
en-US,Geopolitical - Agencies,National Institute of Mental Health,NIMH,FALSE
en-US,Geopolitical - Agencies,National Institute of Occupational Safety and Health,NIOSH,FALSE
en-US,Geopolitical - Agencies,National Institute of Standards and Technology,NIST,FALSE
en-US,Geopolitical - Agencies,National Institutes of Health,NIH,FALSE
en-US,Geopolitical - Agencies,National Intelligence University,,FALSE
en-US,Geopolitical - Agencies,National Interagency Fire Center,,FALSE
en-US,Geopolitical - Agencies,National Labor Relations Board,NLRB,FALSE
en-US,Geopolitical - Agencies,National Laboratories,,FALSE
en-US,Geopolitical - Agencies,National Marine Fisheries Service,,FALSE
en-US,Geopolitical - Agencies,National Mediation Board,,FALSE
en-US,Geopolitical - Agencies,National Nuclear Security Administration,,FALSE
en-US,Geopolitical - Agencies,National Ocean Service,,FALSE
en-US,Geopolitical - Agencies,National Oceanic and Atmospheric Administration,NOAA,FALSE
en-US,Geopolitical - Agencies,National Park Foundation,,FALSE
en-US,Geopolitical - Agencies,National Park Service,NPS,FALSE
en-US,Geopolitical - Agencies,National Passport Information Center,NPIC,FALSE
en-US,Geopolitical - Agencies,National Pesticide Information Center,,FALSE
en-US,Geopolitical - Agencies,National Railroad Passenger Corporation,AMTRAK,FALSE
en-US,Geopolitical - Agencies,National Reconnaissance Office,,FALSE
en-US,Geopolitical - Agencies,National Science Foundation,NSF,FALSE
en-US,Geopolitical - Agencies,National Security Agency,NSA,FALSE
en-US,Geopolitical - Agencies,National Security Council,,FALSE
en-US,Geopolitical - Agencies,National Technical Information Service,,FALSE
en-US,Geopolitical - Agencies,National Telecommunications and Information Administration,,FALSE
en-US,Geopolitical - Agencies,National Transportation Safety Board,NTSB,FALSE
en-US,Geopolitical - Agencies,National War College,,FALSE
en-US,Geopolitical - Agencies,National Weather Service,,FALSE
en-US,Geopolitical - Agencies,Natural Resources Conservation Service,,FALSE
en-US,Geopolitical - Agencies,Office of Natural Resources Revenue,,FALSE
en-US,Geopolitical - Agencies,Navy,,FALSE
en-US,Geopolitical - Agencies,Northern Command,,FALSE
en-US,Geopolitical - Agencies,Northwest Power Planning Council,,FALSE
en-US,Geopolitical - Agencies,Northwest Power and Conservation Council,,FALSE
en-US,Geopolitical - Agencies,Office of Nuclear Energy,,FALSE
en-US,Geopolitical - Agencies,Nuclear Regulatory Commission,NRC,FALSE
en-US,Geopolitical - Agencies,Nuclear Waste Technical Review Board,,FALSE
en-US,Geopolitical - Agencies,Oak Ridge National Laboratory,,FALSE
en-US,Geopolitical - Agencies,Occupational Safety and Health Administration,OSHA,FALSE
en-US,Geopolitical - Agencies,Occupational Safety and Health Review Commission,,FALSE
en-US,Geopolitical - Agencies,Bureau of Ocean Energy Management,,FALSE
en-US,Geopolitical - Agencies,Department of Education Office for Civil Rights,,FALSE
en-US,Geopolitical - Agencies,Department of Health and Human Services Office for Civil Rights,,FALSE
en-US,Geopolitical - Agencies,"Office of Career, Technical, and Adult Education",,FALSE
en-US,Geopolitical - Agencies,Office of Child Support Enforcement,OCSE,FALSE
en-US,Geopolitical - Agencies,Office of Community Planning and Development,,FALSE
en-US,Geopolitical - Agencies,Office of Compliance,,FALSE
en-US,Geopolitical - Agencies,Office of Cuba Broadcasting,,FALSE
en-US,Geopolitical - Agencies,Office of Disability Employment Policy,ODEP,FALSE
en-US,Geopolitical - Agencies,Office of Elementary and Secondary Education,,FALSE
en-US,Geopolitical - Agencies,Office of Environmental Management,,FALSE
en-US,Geopolitical - Agencies,Office of Fair Housing and Equal Opportunity,,FALSE
en-US,Geopolitical - Agencies,Office of Fossil Energy,,FALSE
en-US,Geopolitical - Agencies,Office of Government Ethics,OGE,FALSE
en-US,Geopolitical - Agencies,Office of Housing,,FALSE
en-US,Geopolitical - Agencies,Office of Investor Education and Advocacy,,FALSE
en-US,Geopolitical - Agencies,Office of Justice Programs,,FALSE
en-US,Geopolitical - Agencies,Office of Juvenile Justice and Delinquency Prevention,,FALSE
en-US,Geopolitical - Agencies,Office of Lead Hazard Control and Healthy Homes,,FALSE
en-US,Geopolitical - Agencies,Office of Management and Budget,OMB,FALSE
en-US,Geopolitical - Agencies,Office of Manufactured Housing Programs,,FALSE
en-US,Geopolitical - Agencies,Office of Minority Health,,FALSE
en-US,Geopolitical - Agencies,Office of National Drug Control Policy,ONDCP,FALSE
en-US,Geopolitical - Agencies,Office of Natural Resources Revenue,,FALSE
en-US,Geopolitical - Agencies,Office of Nuclear Energy,,FALSE
en-US,Geopolitical - Agencies,Office of Personnel Management,OPM,FALSE
en-US,Geopolitical - Agencies,Office of Policy Development and Research,,FALSE
en-US,Geopolitical - Agencies,Office of Postsecondary Education,,FALSE
en-US,Geopolitical - Agencies,Office of Refugee Resettlement,,FALSE
en-US,Geopolitical - Agencies,Office of Science and Technology Policy,,FALSE
en-US,Geopolitical - Agencies,Office of Scientific and Technical Information,,FALSE
en-US,Geopolitical - Agencies,Office of Servicemember Affairs,,FALSE
en-US,Geopolitical - Agencies,Office of Special Counsel,,FALSE
en-US,Geopolitical - Agencies,Office of Special Education and Rehabilitative Services,OSERS,FALSE
en-US,Geopolitical - Agencies,"Office of Surface Mining, Reclamation and Enforcement",,FALSE
en-US,Geopolitical - Agencies,Office of the Comptroller of the Currency,OCC,FALSE
en-US,Geopolitical - Agencies,Office of the Director of National Intelligence,,FALSE
en-US,Geopolitical - Agencies,Office of the Federal Register,,FALSE
en-US,Geopolitical - Agencies,Office of the Pardon Attorney,,FALSE
en-US,Geopolitical - Agencies,Open World Leadership Center,,FALSE
en-US,Geopolitical - Agencies,Out-of-Service Debt Management Center,,FALSE
en-US,Geopolitical - Agencies,Overseas Private Investment Corporation,,FALSE
en-US,Geopolitical - Agencies,Pacific Command,,FALSE
en-US,Geopolitical - Agencies,Pacific Northwest Electric Power and Conservation Planning Council,,FALSE
en-US,Geopolitical - Agencies,Office of Pardon Attorney,,FALSE
en-US,Geopolitical - Agencies,Parole Commission,,FALSE
en-US,Geopolitical - Agencies,Patent and Trademark Office,,FALSE
en-US,Geopolitical - Agencies,Peace Corps,,FALSE
en-US,Geopolitical - Agencies,Pension Benefit Guaranty Corporation,PBGC,FALSE
en-US,Geopolitical - Agencies,Pentagon Force Protection Agency,,FALSE
en-US,Geopolitical - Agencies,Pipeline and Hazardous Materials Safety Administration,,FALSE
en-US,Geopolitical - Agencies,Policy Development and Research,,FALSE
en-US,Geopolitical - Agencies,Political Affairs,,FALSE
en-US,Geopolitical - Agencies,Postal Inspection Service,,FALSE
en-US,Geopolitical - Agencies,Postal Regulatory Commission,,FALSE
en-US,Geopolitical - Agencies,Postal Service,USPS,FALSE
en-US,Geopolitical - Agencies,Office of Postsecondary Education,,FALSE
en-US,Geopolitical - Agencies,Power Administrations,,FALSE
en-US,Geopolitical - Agencies,"President's Council on Fitness, Sports and Nutrition",,FALSE
en-US,Geopolitical - Agencies,Presidential Scholars Commission,,FALSE
en-US,Geopolitical - Agencies,Presidio Trust,,FALSE
en-US,Geopolitical - Agencies,Pretrial Services Agency for the District of Columbia,,FALSE
en-US,Geopolitical - Agencies,Prisoner of War/Missing in Action Accounting Agency,,FALSE
en-US,Geopolitical - Agencies,Privacy and Civil Liberties Oversight Board,PCLOB,FALSE
en-US,Geopolitical - Agencies,Public Diplomacy and Public Affairs,,FALSE
en-US,Geopolitical - Agencies,Public and Indian Housing,,FALSE
en-US,Geopolitical - Agencies,Radio Free Asia,RFA,FALSE
en-US,Geopolitical - Agencies,Radio Free Europe and Radio Liberty,RFE/RL,FALSE
en-US,Geopolitical - Agencies,Radio Sawa,,FALSE
en-US,Geopolitical - Agencies,Radio and TV Martí,,FALSE
en-US,Geopolitical - Agencies,Railroad Retirement Board,RRB,FALSE
en-US,Geopolitical - Agencies,Bureau of Reclamation,,FALSE
en-US,Geopolitical - Agencies,Office of Refugee Resettlement,,FALSE
en-US,Geopolitical - Agencies,Rehabilitation Services Administration,,FALSE
en-US,Geopolitical - Agencies,Research and Innovative Technology Administration,,FALSE
en-US,Geopolitical - Agencies,Risk Management Agency,,FALSE
en-US,Geopolitical - Agencies,Rural Business and Cooperative Programs,,FALSE
en-US,Geopolitical - Agencies,Rural Development,,FALSE
en-US,Geopolitical - Agencies,Rural Housing Service,,FALSE
en-US,Geopolitical - Agencies,Rural Utilities Service,,FALSE
en-US,Geopolitical - Agencies,Bureau of Safety and Environmental Enforcement,,FALSE
en-US,Geopolitical - Agencies,Saint Lawrence Seaway Development Corporation,,FALSE
en-US,Geopolitical - Agencies,Science Office,,FALSE
en-US,Geopolitical - Agencies,Office of Science and Technology Policy,,FALSE
en-US,Geopolitical - Agencies,Office of Scientific and Technical Information,,FALSE
en-US,Geopolitical - Agencies,Secret Service,,FALSE
en-US,Geopolitical - Agencies,Securities and Exchange Commission,SEC,FALSE
en-US,Geopolitical - Agencies,Selective Service System,SSS,FALSE
en-US,Geopolitical - Agencies,Senate,,FALSE
en-US,Geopolitical - Agencies,Sentencing Commission,,FALSE
en-US,Geopolitical - Agencies,Office of Servicemember Affairs,,FALSE
en-US,Geopolitical - Agencies,Small Business Administration,SBA,FALSE
en-US,Geopolitical - Agencies,Smithsonian Institution,,FALSE
en-US,Geopolitical - Agencies,Social Security Administration,SSA,FALSE
en-US,Geopolitical - Agencies,Social Security Advisory Board,,FALSE
en-US,Geopolitical - Agencies,Southeastern Power Administration,,FALSE
en-US,Geopolitical - Agencies,Southern Command,,FALSE
en-US,Geopolitical - Agencies,Southwestern Power Administration,,FALSE
en-US,Geopolitical - Agencies,Office of Special Counsel,,FALSE
en-US,Geopolitical - Agencies,Office of Special Education and Rehabilitative Services,OSERS,FALSE
en-US,Geopolitical - Agencies,Special Forces Operations Command,,FALSE
en-US,Geopolitical - Agencies,State Department,DOS,FALSE
en-US,Geopolitical - Agencies,State Justice Institute,,FALSE
en-US,Geopolitical - Agencies,Stennis Center for Public Service,,FALSE
en-US,Geopolitical - Agencies,Strategic Command,,FALSE
en-US,Geopolitical - Agencies,Substance Abuse and Mental Health Services Administration,SAMHSA,FALSE
en-US,Geopolitical - Agencies,Supreme Court of the United States,,FALSE
en-US,Geopolitical - Agencies,"Office of Surface Mining, Reclamation and Enforcement",,FALSE
en-US,Geopolitical - Agencies,Surface Transportation Board,,FALSE
en-US,Geopolitical - Agencies,Susquehanna River Basin Commission,,FALSE
en-US,Geopolitical - Agencies,Tax Court,,FALSE
en-US,Geopolitical - Agencies,Taxpayer Advocacy Panel,,FALSE
en-US,Geopolitical - Agencies,Tennessee Valley Authority,TVA,FALSE
en-US,Geopolitical - Agencies,Trade Representative,,FALSE
en-US,Geopolitical - Agencies,Trade and Development Agency,,FALSE
en-US,Geopolitical - Agencies,Transportation Department,DOT,FALSE
en-US,Geopolitical - Agencies,Transportation Security Administration,TSA,FALSE
en-US,Geopolitical - Agencies,Bureau of  Transportation Statistics,,FALSE
en-US,Geopolitical - Agencies,Treasury Department,,FALSE
en-US,Geopolitical - Agencies,Trustee Program,,FALSE
en-US,Geopolitical - Agencies,U.S. AbilityOne Commission,,FALSE
en-US,Geopolitical - Agencies,U.S. Access Board,,FALSE
en-US,Geopolitical - Agencies,U.S. Agency for International Development,USAID,FALSE
en-US,Geopolitical - Agencies,U.S. Air Force,,FALSE
en-US,Geopolitical - Agencies,U.S. Air Force Reserve Command,,FALSE
en-US,Geopolitical - Agencies,U.S. Arctic Research Commission,,FALSE
en-US,Geopolitical - Agencies,U.S. Army,,FALSE
en-US,Geopolitical - Agencies,U.S. Army Corps of Engineers,,FALSE
en-US,Geopolitical - Agencies,U.S. Botanic Garden,,FALSE
en-US,Geopolitical - Agencies,U.S. Capitol Police,,FALSE
en-US,Geopolitical - Agencies,U.S. Capitol Visitor Center,,FALSE
en-US,Geopolitical - Agencies,U.S. Census Bureau,,FALSE
en-US,Geopolitical - Agencies,U.S. Central Command,CENTCOM,FALSE
en-US,Geopolitical - Agencies,U.S. Chemical Safety Board,,FALSE
en-US,Geopolitical - Agencies,U.S. Circuit Courts of Appeal,,FALSE
en-US,Geopolitical - Agencies,U.S. Citizenship and Immigration Services,USCIS,FALSE
en-US,Geopolitical - Agencies,U.S. Coast Guard,,FALSE
en-US,Geopolitical - Agencies,U.S. Commission of Fine Arts,,FALSE
en-US,Geopolitical - Agencies,U.S. Commission on International Religious Freedom,,FALSE
en-US,Geopolitical - Agencies,U.S. Commodity Futures Trading Commission,CFTC,FALSE
en-US,Geopolitical - Agencies,U.S. Court of Appeals for Veterans Claims,,FALSE
en-US,Geopolitical - Agencies,U.S. Customs and Border Protection,,FALSE
en-US,Geopolitical - Agencies,U.S. Department of Agriculture,USDA,FALSE
en-US,Geopolitical - Agencies,U.S. Department of Commerce,DOC,FALSE
en-US,Geopolitical - Agencies,U.S. Department of Defense,DOD,FALSE
en-US,Geopolitical - Agencies,U.S. Department of Education,ED,FALSE
en-US,Geopolitical - Agencies,U.S. Department of Energy,DOE,FALSE
en-US,Geopolitical - Agencies,U.S. Department of Health and Human Services,HHS,FALSE
en-US,Geopolitical - Agencies,U.S. Department of Homeland Security,DHS,FALSE
en-US,Geopolitical - Agencies,U.S. Department of Housing and Urban Development,HUD,FALSE
en-US,Geopolitical - Agencies,U.S. Department of Justice,DOJ,FALSE
en-US,Geopolitical - Agencies,U.S. Department of Labor,DOL,FALSE
en-US,Geopolitical - Agencies,U.S. Department of State,DOS,FALSE
en-US,Geopolitical - Agencies,U.S. Department of Transportation,DOT,FALSE
en-US,Geopolitical - Agencies,U.S. Department of Veterans Affairs,VA,FALSE
en-US,Geopolitical - Agencies,U.S. Department of the Interior,DOI,FALSE
en-US,Geopolitical - Agencies,U.S. Department of the Treasury,,FALSE
en-US,Geopolitical - Agencies,U.S. Election Assistance Commission,EAC,FALSE
en-US,Geopolitical - Agencies,U.S. European Command,,FALSE
en-US,Geopolitical - Agencies,U.S. Fleet Forces Command,,FALSE
en-US,Geopolitical - Agencies,U.S. Geological Survey,USGS,FALSE
en-US,Geopolitical - Agencies,U.S. House of Representatives,,FALSE
en-US,Geopolitical - Agencies,U.S. Immigration and Customs Enforcement,ICE,FALSE
en-US,Geopolitical - Agencies,U.S. International Trade Commission,,FALSE
en-US,Geopolitical - Agencies,U.S. Marine Corps,,FALSE
en-US,Geopolitical - Agencies,U.S. Marshals Service,,FALSE
en-US,Geopolitical - Agencies,"U.S. Military Academy, West Point",,FALSE
en-US,Geopolitical - Agencies,U.S. Mission to the United Nations,,FALSE
en-US,Geopolitical - Agencies,U.S. National Central Bureau - Interpol,,FALSE
en-US,Geopolitical - Agencies,U.S. Navy,,FALSE
en-US,Geopolitical - Agencies,U.S. Northern Command,,FALSE
en-US,Geopolitical - Agencies,U.S. Nuclear Regulatory Commission,NRC,FALSE
en-US,Geopolitical - Agencies,U.S. Pacific Command,,FALSE
en-US,Geopolitical - Agencies,U.S. Parole Commission,,FALSE
en-US,Geopolitical - Agencies,U.S. Patent and Trademark Office,,FALSE
en-US,Geopolitical - Agencies,U.S. Postal Inspection Service,,FALSE
en-US,Geopolitical - Agencies,U.S. Postal Service,USPS,FALSE
en-US,Geopolitical - Agencies,U.S. Senate,,FALSE
en-US,Geopolitical - Agencies,U.S. Sentencing Commission,,FALSE
en-US,Geopolitical - Agencies,U.S. Southern Command,,FALSE
en-US,Geopolitical - Agencies,U.S. Special Operations Command,,FALSE
en-US,Geopolitical - Agencies,U.S. Strategic Command,,FALSE
en-US,Geopolitical - Agencies,U.S. Trade Representative,,FALSE
en-US,Geopolitical - Agencies,U.S. Trade and Development Agency,,FALSE
en-US,Geopolitical - Agencies,U.S. Transportation Command,,FALSE
en-US,Geopolitical - Agencies,U.S. Trustee Program,,FALSE
en-US,Geopolitical - Agencies,US-CERT,US CERT,FALSE
en-US,Geopolitical - Agencies,USAGov,,FALSE
en-US,Geopolitical - Agencies,Unified Combatant Commands,,FALSE
en-US,Geopolitical - Agencies,Uniformed Services University of the Health Sciences,,FALSE
en-US,Geopolitical - Agencies,United States Mint,,FALSE
en-US,Geopolitical - Agencies,Veterans Affairs Department,VA,FALSE
en-US,Geopolitical - Agencies,Veterans Benefits Administration,VBA,FALSE
en-US,Geopolitical - Agencies,Veterans Day National Committee,,FALSE
en-US,Geopolitical - Agencies,Veterans Health Administration,VHA,FALSE
en-US,Geopolitical - Agencies,Veterans' Employment and Training Service,VETS,FALSE
en-US,Geopolitical - Agencies,Vietnam Education Foundation,,FALSE
en-US,Geopolitical - Agencies,Voice of America,VOA,FALSE
en-US,Geopolitical - Agencies,Washington Headquarters Services,,FALSE
en-US,Geopolitical - Agencies,Weather Service,,FALSE
en-US,Geopolitical - Agencies,Weights and Measures Division,,FALSE
en-US,Geopolitical - Agencies,West Point Military Academy,,FALSE
en-US,Geopolitical - Agencies,Western Area Power Administration,,FALSE
en-US,Geopolitical - Agencies,White House Office of Administration,,FALSE
en-US,Geopolitical - Agencies,Wireless Telecommunications Bureau,,FALSE
en-US,Geopolitical - Agencies,Women's Bureau,,FALSE
en-US,Geopolitical - Agencies,Woodrow Wilson International Center for Scholars,,FALSE
