Term Locale,Term Category,Term,CaseSensitive
en-us,Chemical,lye,FALSE
en-us,Chemical,caustic soda,FALSE
en-us,Chemical,sodium hypochlorite,FALSE
en-us,Chemical,bleach,FALSE
en-us,Chemical,sodium nitrate,FALSE
en-us,Chemical,chile saltpeter,FALSE
en-us,Chemical,chile saltpetre,FALSE
en-us,Chemical,sodium metabisulfite,FALSE
en-us,Chemical,sodium carbonate peroxyhydrate,FALSE
en-us,Chemical,sodium phosphate,FALSE
en-us,Chemical,trisodium phosphate,FALSE
en-us,Chemical,sodium silicate,FALSE
en-us,Chemical,water glass,FALSE
en-us,Chemical,egg preserver,FALSE
en-us,Chemical,magic rocks,FALSE
en-us,Chemical,sodium sulfite,FALSE
en-us,Chemical,sodium sulfate,FALSE
en-us,Chemical,sodium tetraborate decahydrate,FALSE
en-us,Chemical,borax,FALSE
en-us,Chemical,sodium thiosulfate,FALSE
en-us,Chemical,hypo,FALSE
en-us,Chemical,stearic acid,FALSE
en-us,Chemical,candle hardener,FALSE
en-us,Chemical,steel,FALSE
en-us,Chemical,galvanised wire,FALSE
en-us,Chemical,stainless steel,FALSE
en-us,Chemical,galvanised steel,FALSE
en-us,Chemical,mild steel,FALSE
en-us,Chemical,carbon steel,FALSE
en-us,Chemical,sucrose,FALSE
en-us,Chemical,sugar,FALSE
en-us,Chemical,sulfur,FALSE
en-us,Chemical,sulphur,FALSE
en-us,Chemical,sulfuric acid,FALSE
en-us,Chemical,vitriol,FALSE
en-us,Chemical,oil of vitriol,FALSE
en-us,Chemical,tannic acid,FALSE
en-us,Chemical,tannin,FALSE
en-us,Chemical,tartaric acid,FALSE
en-us,Chemical,wine preservative,FALSE
en-us,Chemical,tetrachloroethylene,FALSE
en-us,Chemical,tetrachloroethene,FALSE
en-us,Chemical,thymolphthalein,FALSE
en-us,Chemical,disappearing ink,FALSE
en-us,Chemical,tetrachloroethene,FALSE
en-us,Chemical,titanium dioxide,FALSE
en-us,Chemical,titanium white,FALSE
en-us,Chemical,trichloroethane,FALSE
en-us,Chemical,degreaser,FALSE
en-us,Chemical,tetrafluoroethane,FALSE
en-us,Chemical,thiourea,FALSE
en-us,Chemical,thiocarbamide,FALSE
en-us,Chemical,toluene,FALSE
en-us,Chemical,cellulose thinner,FALSE
en-us,Chemical,trichloroethylene,FALSE
en-us,Chemical,trichloroethene,FALSE
en-us,Chemical,tungsten,FALSE
en-us,Chemical,turpentine,FALSE
en-us,Chemical,urea,FALSE
en-us,Chemical,water,FALSE
en-us,Chemical,xylene,FALSE
en-us,Chemical,zinc,FALSE
en-us,Chemical,zinc chloride,FALSE
en-us,Chemical,zinc oxide,FALSE
en-us,Chemical,tinner's fluid,FALSE
en-us,Chemical,killed acid,FALSE
en-us,Chemical,pompholyx,FALSE
en-us,Chemical,zinc sulfate,FALSE
en-us,Chemical,moss killer,FALSE
en-us,Chemical,carbamide,FALSE
en-us,Chemical,ice melter,FALSE
en-us,Hazardous Waste,dioxin,FALSE
en-us,Hazardous Waste,acids,FALSE
en-us,Hazardous Waste,adhesives,FALSE
en-us,Hazardous Waste,aerosol cans,FALSE
en-us,Hazardous Waste,air conditioners,FALSE
en-us,Hazardous Waste,air fresheners,FALSE
en-us,Hazardous Waste,alkaline batteries,FALSE
en-us,Hazardous Waste,artist's materials,FALSE
en-us,Hazardous Waste,artists paint,FALSE
en-us,Hazardous Waste,asbestos,FALSE
en-us,Hazardous Waste,automative waxes,FALSE
en-us,Hazardous Waste,bases,FALSE
en-us,Hazardous Waste,batteries,FALSE
en-us,Hazardous Waste,biohazardous waste,FALSE
en-us,Hazardous Waste,blood pressure cuffs,FALSE
en-us,Hazardous Waste,brush cleaners,FALSE
en-us,Hazardous Waste,bug spray,FALSE
en-us,Hazardous Waste,capacitors,FALSE
en-us,Hazardous Waste,car batteries,FALSE
en-us,Hazardous Waste,caustics,FALSE
en-us,Hazardous Waste,ceramic glaze,FALSE
en-us,Hazardous Waste,compact flourescent lamps,FALSE
en-us,Hazardous Waste,computers,FALSE
en-us,Hazardous Waste,controlled substances,FALSE
en-us,Hazardous Waste,crt's,FALSE
en-us,Hazardous Waste,CRT's,FALSE
en-us,Hazardous Waste,CRTs,TRUE
en-us,Hazardous Waste,cutting oil,FALSE
en-us,Hazardous Waste,darkroom chemicals,FALSE
en-us,Hazardous Waste,dehumidifiers,FALSE
en-us,Hazardous Waste,dental amalgams,FALSE
en-us,Hazardous Waste,dental fillings,FALSE
en-us,Hazardous Waste,disinfectants,FALSE
en-us,Hazardous Waste,drugs,FALSE
en-us,Hazardous Waste,dyes,FALSE
en-us,Hazardous Waste,electronic devices,FALSE
en-us,Hazardous Waste,empty chemical containers,FALSE
en-us,Hazardous Waste,empty p-waste chemical containers,FALSE
en-us,Hazardous Waste,etchants,FALSE
en-us,Hazardous Waste,e-waste,FALSE
en-us,Hazardous Waste,fertilizers,FALSE
en-us,Hazardous Waste,film,FALSE
en-us,Hazardous Waste,fireworks,FALSE
en-us,Hazardous Waste,fluorescent lamps,FALSE
en-us,Hazardous Waste,formaldehyde,FALSE
en-us,Hazardous Waste,freezers,FALSE
en-us,Hazardous Waste,freon,FALSE
en-us,Hazardous Waste,fungicides,FALSE
en-us,Hazardous Waste,gas cylinders,FALSE
en-us,Hazardous Waste,gasoline,FALSE
en-us,Hazardous Waste,glass,FALSE
en-us,Hazardous Waste,glue,FALSE
en-us,Hazardous Waste,grease,FALSE
en-us,Hazardous Waste,herbicides,FALSE
en-us,Hazardous Waste,hid lamps,FALSE
en-us,Hazardous Waste,high intensity discharge lamps,FALSE
en-us,Hazardous Waste,inks,FALSE
en-us,Hazardous Waste,insecticides,FALSE
en-us,Hazardous Waste,lab chemicals,FALSE
en-us,Hazardous Waste,lead paint chips,FALSE
en-us,Hazardous Waste,lead shielding,FALSE
en-us,Hazardous Waste,lead weights,FALSE
en-us,Hazardous Waste,mercury,FALSE
en-us,Hazardous Waste,mercury containing items,FALSE
en-us,Hazardous Waste,merthiolate,FALSE
en-us,Hazardous Waste,metal halides lamps,FALSE
en-us,Hazardous Waste,microwave ovens,FALSE
en-us,Hazardous Waste,motor oil,FALSE
en-us,Hazardous Waste,oil,FALSE
en-us,Hazardous Waste,paint,FALSE
en-us,Hazardous Waste,paint rags,FALSE
en-us,Hazardous Waste,paint solvents,FALSE
en-us,Hazardous Waste,parts cleaning solvent,FALSE
en-us,Hazardous Waste,pcb ballasts,FALSE
en-us,Hazardous Waste,pcb's,FALSE
en-us,Hazardous Waste,PCB's,FALSE
en-us,Hazardous Waste,PCBs,TRUE
en-us,Hazardous Waste,pesticides,FALSE
en-us,Hazardous Waste,pharmaceuticals,FALSE
en-us,Hazardous Waste,photographic chemicals,FALSE
en-us,Hazardous Waste,photographic film,FALSE
en-us,Hazardous Waste,polishes,FALSE
en-us,Hazardous Waste,pool chemicals,FALSE
en-us,Hazardous Waste,pottery glaze,FALSE
en-us,Hazardous Waste,printmaking inks,FALSE
en-us,Hazardous Waste,propane cylinders,FALSE
en-us,Hazardous Waste,pump oil,FALSE
en-us,Hazardous Waste,radioactive material,FALSE
en-us,Hazardous Waste,rechargeable batteries,FALSE
en-us,Hazardous Waste,refrigerants,FALSE
en-us,Hazardous Waste,refrigerators,FALSE
en-us,Hazardous Waste,resins,FALSE
en-us,Hazardous Waste,rodenticides,FALSE
en-us,Hazardous Waste,roofing tar,FALSE
en-us,Hazardous Waste,sodium lamps,FALSE
en-us,Hazardous Waste,solvents,FALSE
en-us,Hazardous Waste,sphygmomanometers,FALSE
en-us,Hazardous Waste,spot removers,FALSE
en-us,Hazardous Waste,spray cans,FALSE
en-us,Hazardous Waste,stains,FALSE
en-us,Hazardous Waste,strippers,FALSE
en-us,Hazardous Waste,televisions,FALSE
en-us,Hazardous Waste,thermometers,FALSE
en-us,Hazardous Waste,thermostats,FALSE
en-us,Hazardous Waste,thinner,FALSE
en-us,Hazardous Waste,toner cartridges,FALSE
en-us,Hazardous Waste,transmission fluid,FALSE
en-us,Hazardous Waste,turpentine,FALSE
en-us,Hazardous Waste,used oil,FALSE
en-us,Hazardous Waste,varnish,FALSE
en-us,Hazardous Waste,video display terminals,FALSE
en-us,Hazardous Waste,water treatment chemicals,FALSE
en-us,Hazardous Waste,weed killer,FALSE
en-us,Hazardous Waste,white goods,FALSE
en-us,Hazardous Waste,x-ray film,FALSE
en-us,Hazardous Waste,x-ray machines,FALSE
en-us,Hazardous Waste,headlight fluid,FALSE
de-de,Element,Actinium,FALSE
de-de,Element,Aluminium,FALSE
de-de,Element,Americium,FALSE
de-de,Element,Antimon,FALSE
de-de,Element,Argon,FALSE
de-de,Element,Arsen,FALSE
de-de,Element,Astat,FALSE
de-de,Element,Barium,FALSE
de-de,Element,Berkelium,FALSE
de-de,Element,Beryllium,FALSE
de-de,Element,Bismut,FALSE
de-de,Element,Blei,FALSE
de-de,Element,Bohrium,FALSE
de-de,Element,Bor,FALSE
de-de,Element,Brom,FALSE
de-de,Element,Cadmium,FALSE
de-de,Element,Calcium,FALSE
de-de,Element,Californium,FALSE
de-de,Element,Cäsium,FALSE
de-de,Element,Cer,FALSE
de-de,Element,Chlor,FALSE
de-de,Element,Chrom,FALSE
de-de,Element,Cobalt,FALSE
de-de,Element,Curium,FALSE
de-de,Element,Dubnium,FALSE
de-de,Element,Dysprosium,FALSE
de-de,Element,Einsteinium,FALSE
de-de,Element,Eisen,FALSE
de-de,Element,Eka-Platin,FALSE
de-de,Element,Unununium,FALSE
de-de,Element,Eka-Quecksilber,FALSE
de-de,Element,Erbium,FALSE
de-de,Element,Europium,FALSE
de-de,Element,Fermium,FALSE
de-de,Element,Fluor,FALSE
de-de,Element,Francium,FALSE
de-de,Element,Gadolinium,FALSE
de-de,Element,Gallium,FALSE
de-de,Element,Germanium,FALSE
de-de,Element,Gold,FALSE
de-de,Element,Hafnium,FALSE
de-de,Element,Hassium,FALSE
de-de,Element,Helium,FALSE
de-de,Element,Holmium,FALSE
de-de,Element,Indium,FALSE
de-de,Element,Iod,FALSE
de-de,Element,Iridium,FALSE
de-de,Element,Kalium,FALSE
de-de,Element,Kohlenstoff,FALSE
de-de,Element,Krypton,FALSE
de-de,Element,Kupfer,FALSE
de-de,Element,Lanthan,FALSE
de-de,Element,Lawrencium,FALSE
de-de,Element,Lithium,FALSE
de-de,Element,Lutetium,FALSE
de-de,Element,Magnesium,FALSE
de-de,Element,Mangan,FALSE
de-de,Element,Meitnerium,FALSE
de-de,Element,Mendelevium,FALSE
de-de,Element,Molybdän,FALSE
de-de,Element,Natrium,FALSE
de-de,Element,Neodym,FALSE
de-de,Element,Neon,FALSE
de-de,Element,Neptunium,FALSE
de-de,Element,Nickel,FALSE
de-de,Element,Niobium,FALSE
de-de,Element,Nobelium,FALSE
de-de,Element,Osmium,FALSE
de-de,Element,Palladium,FALSE
de-de,Element,der Phosphor,FALSE
de-de,Element,Platin,FALSE
de-de,Element,Plutonium,FALSE
de-de,Element,Polonium,FALSE
de-de,Element,Praseodym,FALSE
de-de,Element,Promethium,FALSE
de-de,Element,Protactinium,FALSE
de-de,Element,Quecksilber,FALSE
de-de,Element,Radium,FALSE
de-de,Element,Radon,FALSE
de-de,Element,Rhenium,FALSE
de-de,Element,Rhodium,FALSE
de-de,Element,Rubidium,FALSE
de-de,Element,Ruthenium,FALSE
de-de,Element,Rutherfordium,FALSE
de-de,Element,Samarium,FALSE
de-de,Element,Sauerstoff,FALSE
de-de,Element,Scandium,FALSE
de-de,Element,Schwefel,FALSE
de-de,Element,Seaborgium,FALSE
de-de,Element,Selen,FALSE
de-de,Element,Silber,FALSE
de-de,Element,Silicium,FALSE
de-de,Element,Stickstoff,FALSE
de-de,Element,Strontium,FALSE
de-de,Element,Tantal,FALSE
de-de,Element,Technetium,FALSE
de-de,Element,Tellur,FALSE
de-de,Element,Terbium,FALSE
de-de,Element,Thallium,FALSE
de-de,Element,Thorium,FALSE
de-de,Element,Thulium,FALSE
de-de,Element,Titan,FALSE
de-de,Element,Unununium,FALSE
de-de,Element,Unununbium,FALSE
de-de,Element,Uran,FALSE
de-de,Element,Vanadium,FALSE
de-de,Element,Wasserstoff,FALSE
de-de,Element,Wolfram,FALSE
de-de,Element,Xenon,FALSE
de-de,Element,Ytterbium,FALSE
de-de,Element,Yttrium,FALSE
de-de,Element,Zink,FALSE
de-de,Element,Zinn,FALSE
de-de,Element,Zirkonium,FALSE
de-de,Element,Eka-Quecksilber,FALSE
de-de,Element,Silizium,FALSE
de-de,Element,Wismut,FALSE
de-de,Element,Niob,FALSE
de-de,Element,Kalzium,FALSE
de-de,Element,Kobalt,FALSE
de-de,Element,Jod,FALSE
univ,Element,H,TRUE
univ,Element,He,TRUE
univ,Element,Li,TRUE
univ,Element,Be,TRUE
univ,Element,B,TRUE
univ,Element,C,TRUE
univ,Element,N,TRUE
univ,Element,O,TRUE
univ,Element,F,TRUE
univ,Element,Ne,TRUE
univ,Element,Na,TRUE
univ,Element,Mg,TRUE
univ,Element,Al,TRUE
univ,Element,Si,TRUE
univ,Element,P,TRUE
univ,Element,S,TRUE
univ,Element,Cl,TRUE
univ,Element,Ar,TRUE
univ,Element,K,TRUE
univ,Element,Ca,TRUE
univ,Element,Sc,TRUE
univ,Element,Ti,TRUE
univ,Element,V,TRUE
univ,Element,Cr,TRUE
univ,Element,Mn,TRUE
univ,Element,Fe,TRUE
univ,Element,Co,TRUE
univ,Element,Ni,TRUE
univ,Element,Cu,TRUE
univ,Element,Zn,TRUE
univ,Element,Ga,TRUE
univ,Element,Ge,TRUE
univ,Element,As,TRUE
univ,Element,Se,TRUE
univ,Element,Br,TRUE
univ,Element,Kr,TRUE
univ,Element,Rb,TRUE
univ,Element,Sr,TRUE
univ,Element,Y,TRUE
univ,Element,Zr,TRUE
univ,Element,Nb,TRUE
univ,Element,Mo,TRUE
univ,Element,Tc,TRUE
univ,Element,Ru,TRUE
univ,Element,Rh,TRUE
univ,Element,Pd,TRUE
univ,Element,Ag,TRUE
univ,Element,Cd,TRUE
univ,Element,In,TRUE
univ,Element,Sn,TRUE
univ,Element,Sb,TRUE
univ,Element,Te,TRUE
univ,Element,I,TRUE
univ,Element,Xe,TRUE
univ,Element,Cs,TRUE
univ,Element,Ba,TRUE
univ,Element,La,TRUE
univ,Element,Ce,TRUE
univ,Element,Pr,TRUE
univ,Element,Nd,TRUE
univ,Element,Pm,TRUE
univ,Element,Sm,TRUE
univ,Element,Eu,TRUE
univ,Element,Gd,TRUE
univ,Element,Tb,TRUE
univ,Element,Dy,TRUE
univ,Element,Ho,TRUE
univ,Element,Er,TRUE
univ,Element,Tm,TRUE
univ,Element,Yb,TRUE
univ,Element,Lu,TRUE
univ,Element,Hf,TRUE
univ,Element,Ta,TRUE
univ,Element,W,TRUE
univ,Element,Re,TRUE
univ,Element,Os,TRUE
univ,Element,Ir,TRUE
univ,Element,Pt,TRUE
univ,Element,Au,TRUE
univ,Element,Hg,TRUE
univ,Element,Tl,TRUE
univ,Element,Pb,TRUE
univ,Element,Bi,TRUE
univ,Element,Po,TRUE
univ,Element,At,TRUE
univ,Element,Rn,TRUE
univ,Element,Fr,TRUE
univ,Element,Ra,TRUE
univ,Element,Ac,TRUE
univ,Element,Th,TRUE
univ,Element,Pa,TRUE
univ,Element,U,TRUE
univ,Element,Np,TRUE
univ,Element,Pu,TRUE
univ,Element,Am,TRUE
univ,Element,Cm,TRUE
univ,Element,Bk,TRUE
univ,Element,Cf,TRUE
univ,Element,Es,TRUE
univ,Element,Fm,TRUE
univ,Element,Md,TRUE
univ,Element,No,TRUE
univ,Element,Lr,TRUE
univ,Element,Rf,TRUE
univ,Element,Db,TRUE
univ,Element,Sg,TRUE
univ,Element,Bh,TRUE
univ,Element,Hs,TRUE
univ,Element,Mt,TRUE
univ,Element,Ds,TRUE
univ,Element,Rg,TRUE
univ,Element,Cn,TRUE
univ,Element,Nh,TRUE
univ,Element,Fl,TRUE
univ,Element,Mc,TRUE
univ,Element,Lv,TRUE
univ,Element,Ts,TRUE
univ,Element,Og,TRUE
