Term Category,Element (en-US),Element (en-GB),Element (de-DE),Element (fr-FR),Element (es-ES),Symbol,Alias,Case Sensitive
Scientific - Elements,Actinium,Actinium,Actinium,Actinium,Actínio,Ac,,FALSE
Scientific - Elements,Aluminum,Aluminium,Aluminium,Aluminium,Alumínio,Al,,FALSE
Scientific - Elements,Americium,Americium,Americium,Américium,Amerício,Am,,FALSE
Scientific - Elements,Antimony,Antimony,Antimon,Antimoine,Antimonio,Sb,,FALSE
Scientific - Elements,Argon,Argon,Argon,Argon,Argón,Ar,,FALSE
Scientific - Elements,Arsenic,Arsenic,Arsen,Arsenic,Arsénico,As,,FALSE
Scientific - Elements,Astatine,Astatine,Astat,Astate,Astato,At,,FALSE
Scientific - Elements,Barium,Barium,Barium,Baryum,Bario,Ba,,FALSE
Scientific - Elements,Berkelium,Berkelium,Berkelium,Berkélium,Berkelio,Bk,,FALSE
Scientific - Elements,Beryllium,Beryllium,Beryllium,Béryllium,Berílio,Be,,FALSE
Scientific - Elements,Bismuth,Bismuth,Bismut; Wismut,Bismuth,Bismuto,Bi,,FALSE
Scientific - Elements,Bohrium,Bohrium,Bohrium,Bohrium,Bohrio,Bh,Eka -Rhenium,FALSE
Scientific - Elements,Boron,Boron,Bor,Boron,Boro,B,,FALSE
Scientific - Elements,Bromine,Bromine,Brom,Brome,Bromo,Br,,FALSE
Scientific - Elements,Cadmium,Cadmium,Cadmium,Cadmium,Cadmio,Cd,,FALSE
Scientific - Elements,Caesium,caesium,Cäsium,Césium,Cesio,Cs,cesium,FALSE
Scientific - Elements,Calcium,Calcium,Calcium; Kalzium,Calcium,Calcio,Ca,,FALSE
Scientific - Elements,Californium,Californium,Californium,Californium,Californio,Cf,,FALSE
Scientific - Elements,Carbon,Carbon,der Kohlenstoff,Carbone,Carbono,C,,FALSE
Scientific - Elements,Cerium,Cerium,Cer,Cérium,Cério,Ce,,FALSE
Scientific - Elements,Chlorine,Chlorine,Chlor,Chlore,Cloro,Cl,,FALSE
Scientific - Elements,Chromium,Chromium,Chrom,Chrome,Cromo,Cr,,FALSE
Scientific - Elements,Cobalt,Cobalt,Cobalt; Kobalt,Cobalt,Cobalto,Co,,FALSE
Scientific - Elements,Copernicium,Copernicium,Copernicium,Copernicium,Copernicio,Cn,,FALSE
Scientific - Elements,Copper,Copper,Kupfer,Cuivre,Cobre,Cu,,FALSE
Scientific - Elements,Curium,Curium,Curium,Curium,Curio,Cm,,FALSE
Scientific - Elements,Darmstadtium,Darmstadtium,Eka-Platin; Darmstadtium,Darmstadtium,Darmstadtio,Ds,,FALSE
Scientific - Elements,Dubnium,Dubnium,Dubnium,Dubnium,Dubnio,Db,,FALSE
Scientific - Elements,Dysprosium,Dysprosium,Dysprosium,Dysprosium,Disprósio,Dy,,FALSE
Scientific - Elements,Einsteinium,Einsteinium,Einsteinium,Einsteinium,Einstenio,Es,,FALSE
Scientific - Elements,Erbium,Erbium,Erbium,Erbium,Érbio,Er,,FALSE
Scientific - Elements,Europium,Europium,Europium,Europium,Európio,Eu,,FALSE
Scientific - Elements,Fermium,Fermium,Fermium,Fermium,Fermio,Fm,,FALSE
Scientific - Elements,Flerovium,Flerovium,Flerovium,Flérovium,Flerovio,Fl,,FALSE
Scientific - Elements,Fluorine,Fluorine,Fluor,Fluor,Flúor,F,,FALSE
Scientific - Elements,Francium,Francium,Francium,Francium,Francio,Fr,,FALSE
Scientific - Elements,Gadolinium,Gadolinium,Gadolinium,Gadolinium,Gadolínio,Gd,,FALSE
Scientific - Elements,Gallium,Gallium,Gallium,Gallium,Galio,Ga,,FALSE
Scientific - Elements,Germanium,Germanium,Germanium,Germanium,Germánio,Ge,,FALSE
Scientific - Elements,Gold,Gold,Gold,Or,Oro,Au,,FALSE
Scientific - Elements,Hafnium,Hafnium,Hafnium,Hafnium,Hafnio,Hf,,FALSE
Scientific - Elements,Hassium,Hassium,Hassium,Hassium,Hassio,Hs,,FALSE
Scientific - Elements,Helium,Helium,Helium,Hélium,Hélio,He,,FALSE
Scientific - Elements,Holmium,Holmium,Holmium,Holmium,Hólmio,Ho,,FALSE
Scientific - Elements,Hydrogen,Hydrogen,der Wasserstoff,Hydrogène,Hidrógeno,H,,FALSE
Scientific - Elements,Indium,Indium,Indium,Indium,Indio,In,,FALSE
Scientific - Elements,Iodine,Iodine,Iod; jod,Iode,Yodo,I,,FALSE
Scientific - Elements,Iridium,Iridium,Iridium,Iridium,Iridio,Ir,,FALSE
Scientific - Elements,Iron,Iron,Eisen,Fer,Hierro,Fe,,FALSE
Scientific - Elements,Krypton,Krypton,Krypton,Krypton,Criptón,Kr,,FALSE
Scientific - Elements,Lanthanum,Lanthanum,Lanthan,Lanthane,Lantano,La,,FALSE
Scientific - Elements,Lawrencium,Lawrencium,Lawrencium,Lawrencium,Lawrencio,Lr,,FALSE
Scientific - Elements,Lead,Lead,Blei,Plomb,Plomo,Pb,,FALSE
Scientific - Elements,Lithium,Lithium,Lithium,Lithium,Lítio,Li,,FALSE
Scientific - Elements,Livermorium,Livermorium,Livermorium,Livermorium,Livermorio,Lv,,FALSE
Scientific - Elements,Lutetium,Lutetium,Lutetium,Lutécium,Lutécio,Lu,,FALSE
Scientific - Elements,Magnesium,Magnesium,Magnesium,Magnésium,Magnesio,Mg,,FALSE
Scientific - Elements,Manganese,Manganese,Mangan,Manganèse,Manganesio,Mn,,FALSE
Scientific - Elements,Meitnerium,Meitnerium,Meitnerium,Meitnérium,Meitnerio,Mt,,FALSE
Scientific - Elements,Mendelevium,Mendelevium,Mendelevium,Mendélévium,Mendelevio,Md,,FALSE
Scientific - Elements,Mercury,Mercury,Quecksilber,Mercure,Mercurio,Hg,quicksilver,FALSE
Scientific - Elements,Molybdenum,Molybdenum,Molybdän,Molybdène,Molibdeno,Mo,,FALSE
Scientific - Elements,Moscovium,Moscovium,Moscovium,Moscovium,Moscovio,Mc,,FALSE
Scientific - Elements,Neodymium,Neodymium,Neodym,Néodyme,Neodímio,Nd,,FALSE
Scientific - Elements,Neon,Neon,Neon,Néon,Neón,Ne,,FALSE
Scientific - Elements,Neptunium,Neptunium,Neptunium,Neptunium,Neptunio,Np,,FALSE
Scientific - Elements,Nickel,Nickel,Nickel,Nickel,Níquel,Ni,,FALSE
Scientific - Elements,Nihonium,Nihonium,Nihonium; Niob,Nihonium,Nihonio,Nh,,FALSE
Scientific - Elements,Niobium,Niobium,Niob,Niobium,Niobio,Nb,,FALSE
Scientific - Elements,Nitrogen,Nitrogen,der Stickstoff,Azote,Nitrógeno,N,,FALSE
Scientific - Elements,Nobelium,Nobelium,Nobelium,Nobélium,Nobelio,No,,FALSE
Scientific - Elements,Oganesson,Oganesson,Oganesson,Oganesson,Ununoctio,Og,,FALSE
Scientific - Elements,Osmium,Osmium,Osmium,Osmium,Osmio,Os,,FALSE
Scientific - Elements,Oxygen,Oxygen,der Sauerstoff,Oxygène,Oxígeno,O,,FALSE
Scientific - Elements,Palladium,Palladium,Palladium,Palladium,Paladio,Pd,,FALSE
Scientific - Elements,Phosphorus,Phosphorus,der Phosphor,Phosphore,Fósforo,P,,FALSE
Scientific - Elements,Platinum,Platinum,Platin,Platine,Platino,Pt,,FALSE
Scientific - Elements,Plutonium,Plutonium,Plutonium,Plutonium,Plutonio,Pu,,FALSE
Scientific - Elements,Polonium,Polonium,Polonium,Polonium,Polonio,Po,,FALSE
Scientific - Elements,Potassium,Potassium,Kalium,Potassium,Potasio,K,,FALSE
Scientific - Elements,Praseodymium,Praseodymium,Praseodym,Praséodyme,Prosedímio,Pr,,FALSE
Scientific - Elements,Promethium,Promethium,Promethium,Prométhium,Promécio,Pm,,FALSE
Scientific - Elements,Protactinium,Protactinium,Protactinium,Protactinium,Protactínio,Pa,,FALSE
Scientific - Elements,Radium,Radium,Radium,Radium,Radio,Ra,,FALSE
Scientific - Elements,Radon,Radon,Radon,Radon,Radón,Rn,,FALSE
Scientific - Elements,Rhenium,Rhenium,Rhenium,Rhénium,Renio,Re,,FALSE
Scientific - Elements,Rhodium,Rhodium,Rhodium,Rhodium,Rodio,Rh,,FALSE
Scientific - Elements,Roentgenium,Roentgenium,Roentgenium,Roentgenium,Roentgenio,Rg,,FALSE
Scientific - Elements,Rubidium,Rubidium,Rubidium,Rubidium,Rubídio,Rb,,FALSE
Scientific - Elements,Ruthenium,Ruthenium,Ruthenium,Ruthénium,Rutenio,Ru,,FALSE
Scientific - Elements,Rutherfordium,Rutherfordium,Rutherfordium,Rutherfordium,Ruterfordio,Rf,,FALSE
Scientific - Elements,Samarium,Samarium,Samarium,Samarium,Samário,Sm,,FALSE
Scientific - Elements,Scandium,Scandium,Scandium,Scandium,Escandio,Sc,,FALSE
Scientific - Elements,Seaborgium,Seaborgium,Seaborgium,Seaborgium,Seaborgio,Sg,,FALSE
Scientific - Elements,Selenium,Selenium,Selen,Sélénium,Selenio,Se,,FALSE
Scientific - Elements,Silicon,Silicon,Silicium; Silizium,Silicium,Silicio,Si,,FALSE
Scientific - Elements,Silver,Silver,Silber,Argent,Plata,Ag,,FALSE
Scientific - Elements,Sodium,Sodium,Natrium,Sodium,Sodio,Na,,FALSE
Scientific - Elements,Strontium,Strontium,Strontium,Strontium,Estroncio,Sr,,FALSE
Scientific - Elements,Sulfur,Sulfur; sulphur,der Schwefel,Soufre,Azufre,S,sulphur,FALSE
Scientific - Elements,Tantalum,Tantalum,Tantal,Tantale,Tántalo,Ta,,FALSE
Scientific - Elements,Technetium,Technetium,Technetium,Technétium,Tecnecio,Tc,,FALSE
Scientific - Elements,Tellurium,Tellurium,Tellur,Tellure,Teluro,Te,,FALSE
Scientific - Elements,Tennessine,Tennessine,Tenness,Tennessine,Tenesino,Ts,,FALSE
Scientific - Elements,Terbium,Terbium,Terbium,Terbium,Térbio,Tb,,FALSE
Scientific - Elements,Thallium,Thallium,Thallium,Thallium,Talio,Tl,,FALSE
Scientific - Elements,Thorium,Thorium,Thorium,Thorium,Tório,Th,,FALSE
Scientific - Elements,Thulium,Thulium,Thulium,Thulium,Túlio,Tm,,FALSE
Scientific - Elements,Tin,Tin,Zinn,Étain,Estaño,Sn,,FALSE
Scientific - Elements,Titanium,Titanium,Titann,Titane,Titanio,Ti,,FALSE
Scientific - Elements,Tungsten,Tungsten,Wolfram,Tungstène,Wolframio,W,Wolfram,FALSE
Scientific - Elements,Uranium,Uranium,Uran,Uranium,Uranio,U,,FALSE
Scientific - Elements,Vanadium,Vanadium,Vanadium,Vanadium,Vanadio,V,,FALSE
Scientific - Elements,Xenon,Xenon,Xenon,Xénon,Xenón,Xe,,FALSE
Scientific - Elements,Ytterbium,Ytterbium,Ytterbium,Ytterbium,Itérbio,Yb,,FALSE
Scientific - Elements,Yttrium,Yttrium,Yttrium,Yttrium,Itrio,Y,,FALSE
Scientific - Elements,Zinc,Zinc,Zink,Zinc,Zinc,Zn,,FALSE
Scientific - Elements,Zirconium,Zirconium,Zirkonium,Zirconium,Circonio,Zr,,FALSE